"region_key","motif","score"
"NC_058368.1:101035195-101035494","ESRRA",10.5093126127159
"NC_058368.1:108044422-108044721","ESRRA",11.6615040371736
"NC_058368.1:109507886-109508185","ESRRA",10.3261424937727
"NC_058368.1:109540205-109540504","ESRRA",10.0424334146669
"NC_058368.1:111214763-111215062","ESRRA",10.0199844811468
"NC_058368.1:123929912-123930211","ESRRA",11.2165407263692
"NC_058368.1:128532816-128533115","ESRRA",10.2272838212703
"NC_058368.1:138220033-138220332","ESRRA",11.3380826124935
"NC_058368.1:139219668-139219967","ESRRA",11.358008839723
"NC_058368.1:139219668-139219967","ESRRA",11.3406219968431
"NC_058368.1:140727004-140727303","ESRRA",11.213731229325
"NC_058368.1:140812635-140812934","ESRRA",10.844016477374
"NC_058368.1:144689239-144689538","ESRRA",14.1003979746642
"NC_058368.1:144689239-144689538","ESRRB",11.7599585733465
"NC_058368.1:149276612-149276911","ESRRB",10.1736412049631
"NC_058368.1:162961804-162962103","ESRRA",11.1901423105236
"NC_058368.1:174262011-174262310","ESRRA",15.3713740461218
"NC_058368.1:174262011-174262310","ESRRB",10.2544113572584
"NC_058368.1:174262011-174262310","ESRRA",11.3096194894716
"NC_058368.1:174882865-174883164","ESRRA",10.1003175030688
"NC_058368.1:176206919-176207218","ESRRB",10.7581473167259
"NC_058368.1:176206919-176207218","ESRRA",10.6539017893639
"NC_058368.1:178615812-178616111","ESRRA",10.5096197092716
"NC_058368.1:178671224-178671523","ESRRA",10.3027100771994
"NC_058368.1:184989900-184990199","ESRRA",11.1413671008496
"NC_058368.1:187596883-187597182","ESRRB",13.1027094219803
"NC_058368.1:187596883-187597182","ESRRA",12.2136785285974
"NC_058368.1:190347449-190347748","ESRRA",10.0183188459956
"NC_058368.1:199726397-199726696","ESRRA",10.357399270914
"NC_058368.1:199726397-199726696","ESRRB",11.5364598769803
"NC_058368.1:204343839-204344138","ESRRA",11.7654857498634
"NC_058368.1:206338522-206338821","ESRRB",11.0965923106322
"NC_058368.1:206338522-206338821","ESRRA",10.0508288299374
"NC_058368.1:20664941-20665240","ESRRA",10.3206633186135
"NC_058368.1:212988542-212988841","ESRRA",13.5706063252722
"NC_058368.1:229740872-229741171","ESRRA",13.0930173865797
"NC_058368.1:23142188-23142487","ESRRA",10.8513689387749
"NC_058368.1:238342923-238343222","ESRRA",10.2805751887265
"NC_058368.1:238398680-238398979","ESRRA",11.1287558557021
"NC_058368.1:238600820-238601119","ESRRA",11.0540557784392
"NC_058368.1:239243414-239243713","ESRRB",14.3364829207844
"NC_058368.1:239243414-239243713","ESRRA",13.5397373965829
"NC_058368.1:24796040-24796339","ESRRA",10.9636437556425
"NC_058368.1:25359103-25359402","ESRRA",10.3874291679638
"NC_058368.1:25521242-25521541","ESRRA",10.8484935101455
"NC_058368.1:4487142-4487441","ESRRA",10.2245112082897
"NC_058368.1:6544778-6545077","ESRRA",11.1508379827634
"NC_058368.1:6544778-6545077","ESRRA",10.0920619321177
"NC_058368.1:6978356-6978655","ESRRA",11.358221432074
"NC_058368.1:70379236-70379535","ESRRA",11.4767647091701
"NC_058368.1:70815319-70815618","ESRRA",10.4451212058317
"NC_058368.1:71138786-71139085","ESRRA",11.9529986702311
